username,follwer,joined,born,profile_image
CGTNGraphics,950,Joined December 2019,https://pbs.twimg.com/profile_images/1202820949290049536/AlzqRx_y_400x400.jpg,
CGTNMovies,82,Joined October 2019,https://pbs.twimg.com/profile_images/1184303979636781056/PTtTX9Hm_400x400.jpg,
CGTNOfficial,12.9M,,https://pbs.twimg.com/profile_images/1246467745975156738/hicJQmq0_400x400.jpg,"Beijing, China"
cgtnradio,724.5K,Joined April 2009,https://pbs.twimg.com/profile_images/1473475076234248193/QIwT8fUn_400x400.jpg,
cgtnrussian,87.5K,Joined October 2016,https://pbs.twimg.com/profile_images/1338714978136821761/Mbhm_K6b_400x400.jpg,
CGTNSports,"1,071",Joined December 2016,https://pbs.twimg.com/profile_images/1194262145111736322/M3BI6gEM_400x400.jpg,
CGTNSportsScene,"7,767",,https://pbs.twimg.com/profile_images/1503012387800059912/V3-h5Yl1_400x400.jpg,Joined May 2017
CGTNStories,"1,716",Joined November 2019,https://pbs.twimg.com/profile_images/1194186378650587136/6Q1ZpbAX_400x400.jpg,
CGTNTech,"1,257",,https://pbs.twimg.com/profile_images/1623597557329936384/_Swp5FdD_400x400.jpg,"Beijing, China"
CGTNTravel,498,,https://pbs.twimg.com/profile_images/1194441366559805440/hVcR81-__400x400.jpg,
cgtntravelogue,973,,https://pbs.twimg.com/profile_images/1248487587393634305/MWBhh7nh_400x400.jpg,Joined July 2013
cgtnun,46,,https://pbs.twimg.com/profile_images/1677082101546467328/mBi_mTCl_400x400.jpg,
Chen1126,"1,918",,https://pbs.twimg.com/profile_images/1400272501393956870/mzQnnBZ7_400x400.jpg,Joined April 2012
chenhuixin,736,Joined May 2010,https://pbs.twimg.com/profile_images/1176587890576494592/mBB0bV06_400x400.jpg,
Chenjuan,592,,https://pbs.twimg.com/profile_images/1588534050738036741/k_anLrAR_400x400.jpg,Joined June 2009
ChenMingjian_CN,10.6K,Joined December 2021,https://pbs.twimg.com/profile_images/1467572385977094149/kGGK2djy_400x400.jpg,
ChenPingMFA,"9,151",,https://pbs.twimg.com/profile_images/1609359883568029697/FGI51pwc_400x400.jpg,
chenweihua,210.2K,Joined November 2009,https://pbs.twimg.com/profile_images/485435685814300672/dOZBbo0S_400x400.jpeg,
CHENWendi11,241,,https://pbs.twimg.com/profile_images/1573976005022257152/tpaxSHMO_400x400.jpg,Joined September 2021
China__Focus,61.1K,Joined October 2017,https://pbs.twimg.com/profile_images/1403259058350608384/TZ9Ko9Zv_400x400.jpg,
China_Amb_India,96K,Joined December 2017,https://pbs.twimg.com/profile_images/1585848434866540544/qQgU-o1D_400x400.jpg,
China_Amb_Mdv,20.3K,,https://pbs.twimg.com/profile_images/1669558309593165825/6wNM68Iq_400x400.jpg,
China_Amb_Zim,16.4K,Joined April 2019,https://pbs.twimg.com/profile_images/1710209725604728832/cxDtNHe3_400x400.jpg,
CHINA_DIPLOMAT,11K,,https://pbs.twimg.com/profile_images/1234419397630087170/o5gW_lJO_400x400.jpg,
china_emb_ng,"4,289",,https://pbs.twimg.com/profile_images/1226186629578141696/paZOu-z1_400x400.jpg,
china_embajada,11.3K,Joined February 2020,https://pbs.twimg.com/profile_images/1600469165307039750/sBd5jLxc_400x400.jpg,
China_Lyon,"2,872",Joined March 2020,https://pbs.twimg.com/profile_images/1239846759557464064/Zfjo8Qdp_400x400.jpg,
China_OPCW,"2,795",,https://pbs.twimg.com/profile_images/1276079210537332737/q980jtNs_400x400.jpg,
China_Ukraine_,877,,https://pbs.twimg.com/profile_images/1242017100505505797/nr8830Vr_400x400.jpg,
china_xiamen,13K,,https://pbs.twimg.com/profile_images/1246609564167835648/WjODJbHs_400x400.png,
China24Official,"2,952",,https://pbs.twimg.com/profile_images/1352540179416764416/BfhVSX2W_400x400.jpg,Joined October 2019
China2ASEAN,106.6K,,https://pbs.twimg.com/profile_images/1604280423697199104/hC_KJ-ji_400x400.jpg,
ChinaAmbBelgium,"9,722",Joined December 2019,https://pbs.twimg.com/profile_images/1202961781221658626/40T6u0gF_400x400.jpg,
ChinaAmbNL,"3,066",,https://pbs.twimg.com/profile_images/1343512299504623617/SSGefJp0_400x400.jpg,
ChinaAmbSA,56K,Joined September 2019,https://pbs.twimg.com/profile_images/1328278965514022912/q99nZGEZ_400x400.jpg,
ChinaAmbUN,74.7K,,https://pbs.twimg.com/profile_images/1233145432676741127/a9-nlN7n_400x400.jpg,Joined February 2020
chinaandsamoa,"5,375",,https://pbs.twimg.com/profile_images/1176446414827577344/vRopi9d2_400x400.jpg,
ChinaCG_CC,"2,713",,https://pbs.twimg.com/profile_images/1394425150733357056/gMmP9PYD_400x400.jpg,Joined May 2021
ChinaCG_Ffm,"3,044",,https://pbs.twimg.com/profile_images/1462691807859548162/aWPV_dgL_400x400.jpg,Joined November 2021
ChinaCG_Muc,"3,098",Joined October 2021,https://pbs.twimg.com/profile_images/1620852454353928212/L5agJUtO_400x400.jpg,
ChinaCG_NYC,"3,880",,https://pbs.twimg.com/profile_images/1358856747268636672/eeM1lncV_400x400.jpg,Joined February 2021
ChinaCGCalgary,"3,701",,https://pbs.twimg.com/profile_images/1246468095968854017/KoDQEBMs_400x400.jpg,Joined December 2019
chinacgedi,"3,364",Joined February 2020,https://pbs.twimg.com/profile_images/1224993357430231041/ZSPIMdWU_400x400.jpg,
ChinaCGMTL,"1,003",Joined January 2020,https://pbs.twimg.com/profile_images/1220789849004945411/BMILXoqV_400x400.jpg,
ChinaConsAlmaty,"4,351",,https://pbs.twimg.com/profile_images/1668459345753915392/MtfPauDQ_400x400.jpg,Joined August 2021
ChinaConsulate,"5,795",Joined February 2017,https://pbs.twimg.com/profile_images/1246592231009591301/Wv_OmEzS_400x400.jpg,
chinaconsulist,"9,347",Joined February 2020,https://pbs.twimg.com/profile_images/1600413887375020032/zYT6JssM_400x400.jpg,
ChinaConSydney,"9,113",Joined April 2020,https://pbs.twimg.com/profile_images/1369097509973356544/AaXJahML_400x400.jpg,
Chinacultureorg,24.7K,Joined November 2015,https://pbs.twimg.com/profile_images/1246599894036402176/AgizHlyv_400x400.jpg,
ChinaDaily,4.1M,Joined November 2009,https://pbs.twimg.com/profile_images/1598185470353022976/-KlKi0WI_400x400.jpg,"Beijing, China"
ChinaDaily_Life,"1,043",,https://pbs.twimg.com/profile_images/1257991644822921219/Dar-QObb_400x400.jpg,
ChinaDailyAsia,27.1K,,https://pbs.twimg.com/profile_images/802091109459447808/KuJbK6NN_400x400.jpg,Hong Kong
ChinaDailyEU,10.2K,Joined May 2011,https://pbs.twimg.com/profile_images/583611927026388992/Lh8pjma3_400x400.jpg,
ChinaDailyWorld,"1,433",,https://pbs.twimg.com/profile_images/1295189898555797509/fYnnijC2_400x400.jpg,Joined May 2020
chinadotcom_JP,38.1K,,https://pbs.twimg.com/profile_images/963683341227749376/SS3NMk_T_400x400.jpg,
Chinaemb_Hellas,"4,009",Joined July 2020,https://pbs.twimg.com/profile_images/1285471158842859523/hlLUkKf4_400x400.jpg,
ChinaEmb_Juba,"1,328",,https://pbs.twimg.com/profile_images/1600202539605033039/OPxksF-5_400x400.jpg,
ChinaEmbAddis,17.5K,,https://pbs.twimg.com/profile_images/1571943183671599109/7TFEIa6L_400x400.jpg,
ChinaEmbajada,"2,513",,https://pbs.twimg.com/profile_images/1212189902009487362/RLzdUUrx_400x400.jpg,
ChinaEmbajadaRD,"8,258",Joined April 2019,https://pbs.twimg.com/profile_images/1600565973009973254/rhxanVDt_400x400.jpg,
ChinaEmbAlgeria,15.7K,,https://pbs.twimg.com/profile_images/1268099307795894272/wtodZJ-R_400x400.jpg,Joined June 2020
ChinaEmbAngola,"4,201",Joined October 2019,https://pbs.twimg.com/profile_images/1187382395005218818/Y4UOMi6f_400x400.jpg,
ChinaEmbAntigua,"1,889",Joined April 2020,https://pbs.twimg.com/profile_images/1247974674534825990/e2PLKn70_400x400.jpg,
ChinaEmbArg,10K,Joined March 2020,https://pbs.twimg.com/profile_images/1267223426659483655/-lDqhCX__400x400.jpg,
ChinaEmbassy_MV,"2,975",,https://pbs.twimg.com/profile_images/1457636414913347588/xVYjpTLI_400x400.jpg,
ChinaEmbassy_MW,"3,869",Joined November 2019,https://pbs.twimg.com/profile_images/1199669307606814720/ukUHYehb_400x400.jpg,
ChinaembassyT,"3,657",,https://pbs.twimg.com/profile_images/1471146463359086595/5QAGKcOm_400x400.jpg,Joined April 2019
chinaembaustria,"6,828",,https://pbs.twimg.com/profile_images/1246467956080599040/ed-m1OZJ_400x400.jpg,
ChinaEmbBahrain,"1,577",Joined October 2021,https://pbs.twimg.com/profile_images/1485594470926196737/ej7z7pZ0_400x400.jpg,
chinaembcongobz,"3,198",Joined April 2020,https://pbs.twimg.com/profile_images/1250152326834290688/ByjtKvBw_400x400.jpg,
ChinaEmbCroatia,"1,750",,https://pbs.twimg.com/profile_images/1526624524967497731/f85RoT43_400x400.jpg,
ChinaEmBE,"1,334",Joined April 2022,https://pbs.twimg.com/profile_images/1514153404087644162/RCfw5yre_400x400.jpg,
ChinaEmbEritrea,"5,930",Joined June 2021,https://pbs.twimg.com/profile_images/1401827607587528705/-S6QjlVP_400x400.jpg,
ChinaEmbEsp,27.3K,Joined September 2019,https://pbs.twimg.com/profile_images/1600883011217756162/BH3L1g_T_400x400.jpg,
ChinaEmbGermany,"8,726",,https://pbs.twimg.com/profile_images/1610224612452798468/fQPC4qfR_400x400.jpg,Joined December 2019
ChinaEmbGrenada,"6,660",Joined October 2019,https://pbs.twimg.com/profile_images/1186300129986433026/aLVnk075_400x400.jpg,
ChinaEmbinCH,"8,069",Joined May 2021,https://pbs.twimg.com/profile_images/1393282486113873921/luGFH4KI_400x400.jpg,
ChinaEmbinGH,"5,505",,https://pbs.twimg.com/profile_images/1235154623394127875/s7NkAcRz_400x400.jpg,
