username,follwer,joined,born,profile_image
bjd_review,869,Joined November 2021,https://pbs.twimg.com/profile_images/1470641905801175043/Wu26Q4pn_400x400.jpg,
BlairZheng1,8,,https://pbs.twimg.com/profile_images/740181253144514560/KccZemM7_400x400.jpg,Joined November 2012
Bossebosse84,238,,https://pbs.twimg.com/profile_images/1334339706494980096/0OX169Z__400x400.jpg,Joined November 2010
bycongwang,579,,https://pbs.twimg.com/profile_images/1196787150102003712/y7HUvnLz_400x400.jpg,Joined April 2012
Cao_Li_CHN,17.6K,Joined February 2018,https://pbs.twimg.com/profile_images/1504027391445790722/iiHOKKBg_400x400.jpg,
CaoYi_MFA,131.9K,,https://pbs.twimg.com/profile_images/1546723978303119360/83bf0ceC_400x400.jpg,
CathayPak,161.5K,Joined September 2015,https://pbs.twimg.com/profile_images/666259645015592960/aDPmr0CC_400x400.jpg,
CCGBelfast,"7,249",Joined March 2020,https://pbs.twimg.com/profile_images/1234796611949277187/zpiwra9D_400x400.jpg,
CCGJeddah,"3,334",Joined April 2021,https://pbs.twimg.com/profile_images/1381634116114862089/ByV1F-EW_400x400.jpg,
CCTV_Plus,36.3K,Joined January 2015,https://pbs.twimg.com/profile_images/1600446845666238464/OlZN2kuX_400x400.jpg,
cctvxinwen,"1,339",Joined February 2013,https://pbs.twimg.com/profile_images/3281649758/9928ed5b91115b02cbb2ae5389287714_400x400.jpeg,
CD_visual,"1,009",,https://pbs.twimg.com/profile_images/1598596762037415936/Ejq7ILbf_400x400.jpg,
CDAfricaNews,"3,399",Joined August 2016,https://pbs.twimg.com/profile_images/1258755411848695809/vf_wkE8i_400x400.jpg,"Nairobi, Kenya"
CDchinawatch,568,,https://pbs.twimg.com/profile_images/1259818235005829123/8_H7RjY__400x400.jpg,
CDHKedition,"3,794",Joined May 2020,https://pbs.twimg.com/profile_images/1257998670391201792/X3e52b_-_400x400.jpg,
CdOpinion,723,,https://pbs.twimg.com/profile_images/1257852967018889218/LAaPEd8o_400x400.jpg,
CDscitech,165,,https://pbs.twimg.com/profile_images/1286485237493460992/ib8nUCxe_400x400.jpg,Joined July 2020
CenJasmine,265,Joined May 2012,https://pbs.twimg.com/profile_images/1432299308531871748/07R414hU_400x400.jpg,
CGChinaInZurich,"8,828",,https://pbs.twimg.com/profile_images/1633832151513960450/c3kaj0t__400x400.jpg,Joined February 2020
CGHuangPingNY,10.3K,,https://pbs.twimg.com/profile_images/1450168071545573379/5ZRmewKX_400x400.jpg,Joined October 2021
CGMeifangZhang,156.7K,Joined January 2020,https://pbs.twimg.com/profile_images/1659618123572559872/jN34l9kF_400x400.jpg,"75-77 Malone Road, Belfast"
CGPRCinDubai,"4,010",Joined December 2019,https://pbs.twimg.com/profile_images/1203648187438731276/rlowksfc_400x400.jpg,
CGTN_Culture,"1,557",Joined October 2019,https://pbs.twimg.com/profile_images/1184293300863303680/1jO4gQsm_400x400.jpg,
CGTN_Dialogue,"1,011",,https://pbs.twimg.com/profile_images/1253581986666614785/-2xYrg_M_400x400.jpg,Beijing
CGTN_Style,59,,https://pbs.twimg.com/profile_images/1184348148153536512/SFi6Phxa_400x400.jpg,
cgtnafrica,149.7K,,https://pbs.twimg.com/profile_images/1506195652790861827/oE29V8D4_400x400.jpg,Africa
cgtnamerica,288.8K,,https://pbs.twimg.com/profile_images/994364868810739713/ntTuT-8l_400x400.jpg,"Washington, DC"
cgtnarabic,668.5K,,https://pbs.twimg.com/profile_images/1246467717634248707/pnRi9Qq3_400x400.jpg,Joined December 2016
CGTNBusiness,"1,175",Joined November 2019,https://pbs.twimg.com/profile_images/1194202664868839424/I2kWncOe_400x400.jpg,
CGTNDCproducers,457,Joined March 2016,https://pbs.twimg.com/profile_images/815198760359854089/8Q9dRI3C_400x400.jpg,
CGTNEurope,18.8K,,https://pbs.twimg.com/profile_images/1569668915281760256/ShSKOdQl_400x400.png,Europe
CGTNEuropebreak,"2,691",,https://pbs.twimg.com/profile_images/1656987237903482882/h69-m6a3_400x400.jpg,Joined May 2023
CGTNFood,105,Joined October 2019,https://pbs.twimg.com/profile_images/1184304630097858560/LJROAjXZ_400x400.jpg,
CGTNFrancais,977.1K,Joined August 2013,https://pbs.twimg.com/profile_images/1246471206892519425/JTLuTudq_400x400.jpg,
CGTNGlobalBiz,12.5K,,https://pbs.twimg.com/profile_images/866920147579285504/rYxwmETA_400x400.jpg,Beijing
